修練 	xiūliàn 	(V) to undergo training in order to achieve a goal 
記憶 	jìyì 	(N) memory 
詮釋 	quánshì 	(N/V) interpretation; to interpret 
相輔相成 	xiāngfǔ xiāngchéng 	(Id) to complement each other 
書中自有黃金屋 	shūzhōng zìyǒu  huángjīnwū 	(Ph) knowledge brings wealth, lit. there are gold houses in books (used to encourage youngsters to study) 
讀萬卷書行萬里路 	dú wàn juàn shū,xíng wàn lǐ lù 	(Ph) read and travel a great deal, i.e., knowledge is found both in books and in travelling 
脫逃 	tuōtáo 	(Vi) to escape from 
實戰 	shízhàn 	(N) actual combat (i.e., daily life) 
出類拔萃 	chūlèi bácuì 	(Id) rise above the crowd, distinguish yourself 
階段 	jiēduàn 	(N) phase, stage, time, period 
孰 	shú 	(N) who, what, which (classical Chinese) 
頗 	pǒ 	(Adv) very (classical Chinese) 
引人深思 	yǐnrén shēnsī 	(Id) cause you to ponder, thought-provoking 
管理學院 	guǎnlǐ xuéyuàn 	(Ph) college of management 
院長 	yuànzhǎng 	(N) dean of a college 
猴子 	hóuzi 	(N) monkey 
差別 	chābié 	(N) difference 
從此 	cóngcǐ 	(Conj) thereupon 
脫鉤 	tuōgōu 	(V-sep) to disconnect, to break away from 
叢林 	cónglín 	(N) forest 
步入 	bùrù 	(V) to step into, to enter 
野獸 	yěshòu 	(N) beast, wild animal 
聚焦 	jùjiāo 	(Vi) to focus 
視野 	shìyě 	(N) vision, view 
從容 	cōngróng  	(Adv) unhurriedly, calmly 
應對  	yìngduì 	(Vi) to deal with, to tackle, to handle 
綜觀 	zòngguān 	(V) to take a comprehensive view of 
總經理 	zǒngjīnglǐ 	(N) general manager 
旅程 	lǚchéng 	(N) trip, journey 
曲折 	qūzhé 	(Vs) zigzag, full of twists and turns 
缺點 	quēdiǎn 	(N) weak point, flaw, failing 
思維 	sīwéi 	(N) thinking 
行走 	xíngzǒu 	(V) to walk on, to gain experience from 
江湖 	jiānghú 	(N) in the world, society (i.e., real life) 
回頭 	huítóu 	(V-sep) look back 
實驗 	shíyàn 	(N) experiment 
領悟 	lǐngwù 	(N) realization 
為人處世 	wéirén chǔshì 	(Ph) how you conduct yourself in society, how you get along with others 
更為 	gèngwéi 	(Adv ) more, even more 
圓融 	yuánróng 	(Vs) harmoniously, smooth and without corners or edges (in one's dealings with others) 
幽默 	yōumò 	(Vs-sep) humor 
思考術 	sīkǎoshù 	(N) art of thinking 
善(於) 	shàn(yú) 	(Vst) to be good at 
 台科大 	Táikēdà 	National Taiwan University of Science and Technology, Taipei 
盧希鵬 	Lú Xīpéng 	Hsi-Peng Lu (Distinguished Professor of department of Information Management, NTUST, 1962-) 
中經合集團 	zhōngjīnghé jítuán 	WI Harper Group (a pioneer in cross-border investments with offices in Beijing, Taipei, and San Francisco) 
朱永光 	Zhū Yǒngguāng 	Y. K. Chu (managing director, oversees WI Harper’s venture capital business in Taiwan) 
評量 	píngliáng 	(V) to assess, to evaluate 
畫上 	huàshàng 	(V) to draw 
等號 	děnghào 	(N) equation 
閱讀 	yuèdú 	(N/V ) reading comprehension; to read 
內化 	nèihuà 	(Vp ) to internalize, to be acquired 
混為一談 	hùnwéi yìtán 	(Id ) to lump together, to confuse things 
出息 	chūxí 	(N ) a bright future, a future, promise 
識字 	shìzì 	(Vs) to be literate 
先天 	xiāntiān 	(N) (lit.) prior to birth, what’s given at birth 
辨識 	biànshì 	(V) to comprehend, to distinguish 
跳行 	tiàoháng 	(Vi) to skip a line (when reading) 
不損 	bùsǔn 	(Vst) to not take away from, to do no damage to 
偉大 	wěidà 	(Vs/N) great; greatness 
神經 	shénjīng 	(N) nerve 
不礙 	búài 	(Vst) to not hinder, to not obstruct 
番 	fān 	(M) measure for achievement 
開竅 	kāiqiào 	(Vp) to see the light, to start to understand properly, to be enlightened 
笨	bèn 	(Vs) stupid, not smart 
超越 	chāoyuè 	(V) to exceed, to surpass 
本性 	běnxìng 	(N) nature 
天賦 	tiānfù 	(N) gift, talent, innate abilities (lit. given by heaven) 
得以 	déyǐ 	(Vaux) to be able to 
執政 	zhízhèng 	(Vi) to hold the reins of government, to run the government 
理念 	lǐniàn 	(N) idea, ideal, belief 
有所 	yǒusuǒ 	(Adv) to some degree 
放諸四海皆準 	fàngzhū sìhǎi jiēzhǔn 	(Id) the same the world over, universally true 
學術 	xuéshù 	(N) academic, scholarship 
知其然 	zhī qírán 	(Ph) to know the what (classical) 
